flatmates,deposit,monthly_price_avg,space_per_person,total_space,has_access_yn,bills_electricity_yn,bills_water_yn,bills_gas_yn,bills_wifi_yn,feature_furnished_yn,feature_dishwasher_yn,feature_washing_machine_yn,feature_equipped_kitchen_yn,feature_balcony_yn,feature_parking_yn,feature_tv_yn,feature_oven_yn,feature_elevator_yn,english_spoken_yn,german_spoken_yn,russian_spoken_yn,spanish_spoken_yn,sqr_m_price_avg,district_Adlershof,district_Bavarian Quarter,district_Berlin,district_Charlottenburg,district_Friedenau,district_Friedrichshain,district_Friedrichshain-Kreuzberg,district_Gesundbrunnen,district_Hermsdorf,district_Kreuzberg,district_Lichtenberg,district_Marienfelde,district_Marzahn,district_Mitte,district_Moabit,district_Neukölln,district_Other,district_Pankow,district_Prenzlauer Berg,district_Reinickendorf,district_Rudolfkiez,district_Schöneberg,district_Schönefeld,district_Spandau,district_Steglitz,district_Teltow,district_Tempelhof,district_Tiergarten,district_Treptow,district_Treptow-Köpenick,district_Wedding,district_Weissensee,district_Westend,district_Wilmersdorf,property_Apartment,property_Room,property_Studio
3,950.0,440.0,23.0,70.0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,950.0,500.0,23.0,116.0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1390.0,1390.0,50.0,50.0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,28.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,950.0,490.0,23.0,70.0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,7.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,950.0,490.0,23.0,70.0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,7.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,950.0,480.0,23.0,116.0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,950.0,570.0,23.0,93.0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,950.0,530.0,23.0,93.0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,950.0,530.0,23.0,93.0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2144.0,990.0,39.0,39.0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,25.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,980.0,490.0,23.0,116.0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,950.0,530.0,23.0,93.0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,950.0,480.0,23.0,46.0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,10.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,950.0,460.0,23.0,70.0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,7.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2200.0,2200.0,110.0,110.0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,20.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,900.0,900.0,32.0,126.0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,7.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
